Store,Date,Weekly_Sales
1,2010-02-05,1643690.9
10,2010-02-05,2193048.75
37,2010-02-05,536006.73
17,2010-02-05,789036.02
30,2010-02-05,465108.52
25,2010-02-05,677231.63
22,2010-02-05,1033017.37
23,2010-02-05,1364721.58
24,2010-02-05,1388725.63
19,2010-02-05,1507637.17
21,2010-02-05,798593.88
26,2010-02-05,1034119.21
39,2010-02-05,1230596.8
8,2010-02-05,1004137.09
32,2010-02-05,1087616.19
15,2010-02-05,652122.44
34,2010-02-05,956228.96
13,2010-02-05,1967220.53
38,2010-02-05,358496.14
9,2010-02-05,549505.55
2,2010-02-05,2136989.46
45,2010-02-05,890689.51
20,2010-02-05,2401395.47
27,2010-02-05,1874289.79
41,2010-02-05,1086533.18
4,2010-02-05,2135143.87
31,2010-02-05,1469252.05
16,2010-02-05,477409.3
11,2010-02-05,1528008.6400000001
36,2010-02-05,467546.74
42,2010-02-05,543384.01
5,2010-02-05,317173.1
43,2010-02-05,647029.28
35,2010-02-05,1230613.5
28,2010-02-05,1672352.29
6,2010-02-05,1652635.1
33,2010-02-05,274593.43
44,2010-02-05,281090.95
18,2010-02-05,1205307.5
3,2010-02-05,461622.22
12,2010-02-05,1100046.37
29,2010-02-05,538634.46
40,2010-02-05,1001943.8
7,2010-02-05,496725.44
14,2010-02-05,2623469.9499999997
8,2010-02-12,994801.4
15,2010-02-12,682447.1
43,2010-02-12,682918.99
5,2010-02-12,311825.7
39,2010-02-12,1266229.07
26,2010-02-12,1015684.0900000001
34,2010-02-12,994610.99
33,2010-02-12,294882.83
7,2010-02-12,524104.92
13,2010-02-12,2030933.46
40,2010-02-12,955338.29
12,2010-02-12,1117863.33
19,2010-02-12,1536549.95
38,2010-02-12,342214.9
1,2010-02-12,1641957.44
9,2010-02-12,552677.48
2,2010-02-12,2137809.5
45,2010-02-12,656988.64
20,2010-02-12,2109107.9
27,2010-02-12,1745362.72
4,2010-02-12,2188307.39
29,2010-02-12,529672.95
31,2010-02-12,1543947.23
18,2010-02-12,1187880.7
16,2010-02-12,472044.27999999997
11,2010-02-12,1574684.08
36,2010-02-12,469563.7
42,2010-02-12,575709.96
14,2010-02-12,1704218.84
21,2010-02-12,809321.44
32,2010-02-12,1123566.1199999999
37,2010-02-12,529852.7
41,2010-02-12,1075656.34
25,2010-02-12,583364.02
17,2010-02-12,841951.91
22,2010-02-12,1022571.25
28,2010-02-12,1558968.49
6,2010-02-12,1606283.8599999999
3,2010-02-12,420728.96
23,2010-02-12,1380892.08
10,2010-02-12,2176028.52
30,2010-02-12,497374.57
24,2010-02-12,1414107.1
44,2010-02-12,286857.13
35,2010-02-12,1168815.31
45,2010-02-19,841264.04
29,2010-02-19,542399.07
41,2010-02-19,1052034.74
27,2010-02-19,1945070.33
42,2010-02-19,508794.87
21,2010-02-19,867283.25
36,2010-02-19,470281.03
17,2010-02-19,800714.0
18,2010-02-19,1150663.42
10,2010-02-19,2113432.58
16,2010-02-19,469868.7
44,2010-02-19,267956.3
37,2010-02-19,510382.5
4,2010-02-19,2049860.26
31,2010-02-19,1473386.75
11,2010-02-19,1503298.7
12,2010-02-19,1095421.65
14,2010-02-19,2204556.7
38,2010-02-19,327237.92
25,2010-02-19,676260.67
43,2010-02-19,658997.55
7,2010-02-19,506760.54000000004
24,2010-02-19,1385362.49
19,2010-02-19,1515976.11
26,2010-02-19,999348.55
35,2010-02-19,1270658.64
1,2010-02-19,1611968.17
39,2010-02-19,1230591.97
23,2010-02-19,1319588.04
3,2010-02-19,421642.19
9,2010-02-19,511327.9
8,2010-02-19,963960.37
30,2010-02-19,463513.26
32,2010-02-19,1082559.06
33,2010-02-19,296850.83
28,2010-02-19,1491300.42
15,2010-02-19,660838.75
5,2010-02-19,303447.57
22,2010-02-19,988467.61
2,2010-02-19,2124451.54
34,2010-02-19,983963.07
6,2010-02-19,1567138.07
13,2010-02-19,1970274.64
40,2010-02-19,916289.2000000001
20,2010-02-19,2161549.7600000002
44,2010-02-26,273079.07
3,2010-02-26,407204.86
9,2010-02-26,473773.27
36,2010-02-26,447519.44
14,2010-02-26,2095591.63
10,2010-02-26,2006774.96
11,2010-02-26,1336404.65
37,2010-02-26,513615.82
25,2010-02-26,628516.5700000001
43,2010-02-26,618702.79
15,2010-02-26,564883.2000000001
22,2010-02-26,899761.48
21,2010-02-26,749597.24
32,2010-02-26,1053247.1
26,2010-02-26,855385.01
33,2010-02-26,284052.77
4,2010-02-26,1925728.84
38,2010-02-26,334222.73
31,2010-02-26,1344354.41
40,2010-02-26,863917.41
13,2010-02-26,1817850.32
34,2010-02-26,905756.13
5,2010-02-26,270281.63
8,2010-02-26,847592.11
39,2010-02-26,1168582.02
6,2010-02-26,1432953.21
19,2010-02-26,1373270.06
24,2010-02-26,1158722.74
23,2010-02-26,1198709.65
28,2010-02-26,1542173.33
12,2010-02-26,1048617.17
35,2010-02-26,1020651.74
30,2010-02-26,472330.71
17,2010-02-26,749549.55
7,2010-02-26,496083.24
42,2010-02-26,491510.58
16,2010-02-26,443242.17
41,2010-02-26,991941.73
20,2010-02-26,1898193.95
1,2010-02-26,1409727.59
27,2010-02-26,1390934.27
18,2010-02-26,1068157.45
29,2010-02-26,488417.61
45,2010-02-26,741891.65
2,2010-02-26,1865097.27
14,2010-03-05,2237544.75
24,2010-03-05,1412387.3699999999
1,2010-03-05,1554806.68
9,2010-03-05,507297.88
22,2010-03-05,1009201.24
23,2010-03-05,1311175.93
28,2010-03-05,1608435.45
2,2010-03-05,1991013.13
31,2010-03-05,1384870.51
38,2010-03-05,372239.89
20,2010-03-05,2119213.72
25,2010-03-05,665750.0599999999
21,2010-03-05,747444.32
35,2010-03-05,1162610.27
3,2010-03-05,415202.04000000004
37,2010-03-05,519255.68
17,2010-03-05,783300.05
7,2010-03-05,491419.55000000005
10,2010-03-05,1987090.09
30,2010-03-05,472591.07
12,2010-03-05,1077018.27
4,2010-03-05,1971057.44
39,2010-03-05,1266254.21
16,2010-03-05,444181.85
18,2010-03-05,1179738.5
42,2010-03-05,554972.42
11,2010-03-05,1426622.65
36,2010-03-05,480203.43
13,2010-03-05,1939980.43
43,2010-03-05,658600.05
29,2010-03-05,535087.91
44,2010-03-05,284617.27
15,2010-03-05,605325.43
40,2010-03-05,990152.28
27,2010-03-05,1313729.72
5,2010-03-05,288855.71
41,2010-03-05,1063557.49
8,2010-03-05,881503.95
45,2010-03-05,777951.22
32,2010-03-05,1066566.74
33,2010-03-05,291484.89
6,2010-03-05,1601348.82
26,2010-03-05,1005669.58
34,2010-03-05,918295.79
19,2010-03-05,1495844.57
40,2010-03-12,899352.4
6,2010-03-12,1558621.36
3,2010-03-12,384200.69
10,2010-03-12,1941346.13
18,2010-03-12,1138800.32
38,2010-03-12,342023.92
7,2010-03-12,480452.1
20,2010-03-12,2010974.84
9,2010-03-12,494145.8
4,2010-03-12,1894324.09
27,2010-03-12,1925113.1199999999
31,2010-03-12,1366193.35
16,2010-03-12,445393.74
42,2010-03-12,588363.62
43,2010-03-12,645386.9400000001
15,2010-03-12,604173.59
41,2010-03-12,1023997.71
5,2010-03-12,297293.58999999997
32,2010-03-12,1093319.3699999999
26,2010-03-12,963382.09
39,2010-03-12,1244391.83
19,2010-03-12,1467889.2
28,2010-03-12,1326877.11
30,2010-03-12,468189.93
21,2010-03-12,712312.89
37,2010-03-12,513015.35
17,2010-03-12,763961.82
8,2010-03-12,860336.16
44,2010-03-12,272190.83
29,2010-03-12,519042.49
23,2010-03-12,1408082.96
22,2010-03-12,967187.37
25,2010-03-12,660619.99
33,2010-03-12,312161.0
14,2010-03-12,2156035.06
12,2010-03-12,985594.23
13,2010-03-12,1840686.94
35,2010-03-12,1150344.39
34,2010-03-12,921247.88
45,2010-03-12,765687.4199999999
2,2010-03-12,1990483.78
24,2010-03-12,1309340.16
11,2010-03-12,1331883.16
1,2010-03-12,1439541.59
36,2010-03-12,441434.2
32,2010-03-19,1059781.78
22,2010-03-19,966145.09
8,2010-03-19,839911.0
6,2010-03-19,1693058.91
31,2010-03-19,1332261.01
7,2010-03-19,574450.23
17,2010-03-19,752034.52
16,2010-03-19,504307.35
25,2010-03-19,659795.84
21,2010-03-19,727070.0
12,2010-03-19,972088.34
36,2010-03-19,428851.99
13,2010-03-19,1879794.8900000001
10,2010-03-19,1946875.06
30,2010-03-19,445736.36
37,2010-03-19,460020.74
35,2010-03-19,1117536.09
4,2010-03-19,1897429.36
42,2010-03-19,519914.1
41,2010-03-19,1006597.6900000001
11,2010-03-19,1364207.0
43,2010-03-19,668098.49
3,2010-03-19,375328.58999999997
9,2010-03-19,485744.61
29,2010-03-19,496851.6
45,2010-03-19,773819.49
39,2010-03-19,1301590.1300000001
18,2010-03-19,1087507.47
34,2010-03-19,892070.82
24,2010-03-19,1222511.29
38,2010-03-19,333025.47
20,2010-03-19,1951848.43
5,2010-03-19,281706.41
19,2010-03-19,1332940.35
15,2010-03-19,593710.67
2,2010-03-19,1946070.8800000001
44,2010-03-19,269624.2
27,2010-03-19,1700627.97
23,2010-03-19,1229008.32
14,2010-03-19,2066219.3
33,2010-03-19,282235.73
28,2010-03-19,1279819.43
40,2010-03-19,894865.3
1,2010-03-19,1472515.79
26,2010-03-19,903366.55
17,2010-03-26,793097.64
39,2010-03-26,1235094.66
30,2010-03-26,442457.35000000003
19,2010-03-26,1427023.45
28,2010-03-26,1245268.77
15,2010-03-26,592111.49
24,2010-03-26,1258311.56
13,2010-03-26,1882095.98
5,2010-03-26,273282.97
26,2010-03-26,893613.0
21,2010-03-26,686497.53
23,2010-03-26,1310701.8
34,2010-03-26,880742.35
